DATE,REVZILLA_PLAN,CYCLE_GEAR_PLAN,UPSHIFT_PLAN
2017-10-02,557953,44160,24954
2017-10-03,537664,41400,17824
2017-10-04,481869,38640,10695
2017-10-05,476796,38640,7130
2017-10-06,421001,38640,10695
2017-10-07,360133,35880,0
2017-10-08,360133,38640,0
2017-10-09,507230,45000,22755
2017-10-10,476796,42000,18962
2017-10-11,476796,39000,15170
2017-10-12,451435,42000,7585
2017-10-13,431146,42000,11377
2017-10-14,375350,45000,0
2017-10-15,380423,45000,0
2017-10-16,497086,55080,21320
2017-10-17,466652,51840,17056
2017-10-18,436218,42120,12792
2017-10-19,410856,45360,21320
2017-10-20,365206,42120,12792
2017-10-21,334772,42120,0
2017-10-22,344917,45360,0
2017-10-23,476796,51000,27386
2017-10-24,456507,48000,23474
2017-10-25,431146,42000,7825
2017-10-26,375350,45000,7825
2017-10-27,365206,36000,11737
2017-10-28,324627,39000,0
2017-10-29,334772,39000,0
2017-10-30,436217,47040,20761
2017-10-31,410855,49980,13841
2017-11-01,395638,38220,13841
2017-11-02,370277,41160,13841
2017-11-03,344916,41160,6920
2017-11-04,304337,32340,0
2017-11-05,314482,44100,0
2017-11-06,436217,52360,15059
2017-11-07,405783,46200,11294
2017-11-08,365205,42504,11294
2017-11-09,405783,46200,7529
2017-11-10,365205,42504,30117
2017-11-11,324626,37884,0
2017-11-12,334771,40348,0
2017-11-13,446361,51520,23997
2017-11-14,415928,51520,15998
2017-11-15,426072,41860,19997
2017-11-16,385494,45080,7999
2017-11-17,334771,40894,11998
2017-11-18,304337,43792,0
2017-11-19,314482,47334,0
2017-11-20,405783,48552,20935
2017-11-21,355060,46648,12561
2017-11-22,365205,46172,16748
2017-11-23,294193,40460,0
2017-11-24,1115903,140420,33496
2017-11-25,608675,84728,0
2017-11-26,481867,69020,0
2017-11-27,1115914,170590,33638
2017-11-28,481872,93169,25229
2017-11-29,436221,78078,8410
2017-11-30,431149,83983,8410
2017-12-01,431149,77422,8410
2017-12-02,355064,76766,0
2017-12-03,405787,76110,0
2017-12-04,481872,86294,28411
2017-12-05,456510,81723,12176
2017-12-06,466655,74293,16235
2017-12-07,466655,77151,16235
2017-12-08,466655,85151,8117
2017-12-09,415932,81151,0
2017-12-10,431149,85723,0
2017-12-11,557957,100174,28702
2017-12-12,532596,95791,19135
2017-12-13,547813,92035,14351
2017-12-14,507234,87652,14351
2017-12-15,532596,95165,19135
2017-12-16,405787,76383,0
2017-12-17,405787,78887,0
2017-12-18,507234,86815,26112
2017-12-19,415932,73793,9792
2017-12-20,365208,61205,9792
2017-12-21,334774,57298,9792
2017-12-22,294196,52957,9792
2017-12-23,278979,52089,0
2017-12-24,223183,49919,0
2017-12-25,278979,57713,10572
2017-12-26,405787,53590,17621
2017-12-27,375353,53590,14097
2017-12-28,365208,61835,21145
2017-12-29,329702,62247,7048
2017-12-30,289123,60186,0
2017-12-31,253617,63072,0
2018-01-01,233323,33015,0
2018-01-02,355057,37172,14433
2018-01-03,344912,35949,36082
