SITE_NAME,MARKETING_CHANNEL_NAME,KENSHOO_PROFILE_NAME,KENSHOO_CHANNEL_NAME
RevZilla,Paid Search,Revzilla,Google
RevZilla,Paid Search,Revzilla,MSN
RevZilla,Paid Search,Revzilla,Yahoo
RevZilla,Paid Search,Revzilla,YahooGemini
RevZilla,CSE,Revzilla PLA,Google
RevZilla,CSE,Revzilla PLA,MSN
RevZilla,Display Retargeting,Revzilla Display,Google
Cycle Gear,Paid Search,Cycle Gear-Archived,Google
Cycle Gear,Paid Search,Cycle Gear-Archived,MSN
Cycle Gear,CSE,Cycle Gear-Shopping,Google
Cycle Gear,Paid Search,Cycle Gear-Search,Google
Cycle Gear,Paid Search,Cycle Gear-Search,MSN
Cycle Gear,Paid Search,Cycle Gear-Search-Local,Google
Cycle Gear,Paid Search,Cycle Gear-Search-Local,MSN
Cycle Gear,Display Retargeting,Cycle Gear-Display,Google
Cycle Gear,CSE,Cycle Gear-Shopping,MSN
