STATE,REGION
AL,Southeast
AK,Northwest
AZ,Southwest
AR,Southeast
CA,California
CO,Southwest
CT,Northeast
DE,Atlantic
FL,Florida
GA,Atlantic
HI,Southwest
ID,Northwest
IL,Midwest
IN,Midwest
IA,Midwest
KS,Southwest
KY,Southeast
LA,Southeast
ME,Northeast
MD,Atlantic
MA,Northeast
MI,Midwest
MN,Midwest
MS,Southeast
MO,Southeast
MT,Mountain
NE,Mountain
NV,Southwest
NH,Northeast
NJ,Northeast
NM,Southwest
NY,Northeast
NC,Atlantic
ND,Mountain
OH,Midwest
OK,Southwest
OR,Northwest
PA,Northeast
RI,Northeast
SC,Atlantic
SD,Mountain
TN,Southeast
TX,Texas
UT,Southwest
VT,Northeast
VA,Atlantic
WA,Northwest
WV,Midwest
WI,Midwest
WY,Mountain
DC,Atlantic
